"year","Court","n"
2010,"10th Circuit Court of Appeals",1
2010,"11th Circuit Court of Appeals",2
2010,"2nd Circuit Court of Appeals",1
2010,"3rd Circuit Court of Appeals",1
2010,"4th Circuit Court of Appeals",1
2010,"5th Circuit Court of Appeals",6
2010,"6th Circuit Court of Appeals",15
2010,"7th Circuit Court of Appeals",3
2010,"9th Circuit Court of Appeals",3
2010,"DC Circuit Court of Appeals",1
2011,"10th Circuit Court of Appeals",1
2011,"11th Circuit Court of Appeals",3
2011,"3rd Circuit Court of Appeals",5
2011,"5th Circuit Court of Appeals",3
2011,"6th Circuit Court of Appeals",30
2011,"9th Circuit Court of Appeals",3
2012,"11th Circuit Court of Appeals",8
2012,"2nd Circuit Court of Appeals",2
2012,"3rd Circuit Court of Appeals",1
2012,"5th Circuit Court of Appeals",3
2012,"6th Circuit Court of Appeals",36
2012,"7th Circuit Court of Appeals",2
2012,"9th Circuit Court of Appeals",5
2013,"10th Circuit Court of Appeals",2
2013,"11th Circuit Court of Appeals",7
2013,"2nd Circuit Court of Appeals",10
2013,"3rd Circuit Court of Appeals",6
2013,"5th Circuit Court of Appeals",8
2013,"6th Circuit Court of Appeals",39
2013,"7th Circuit Court of Appeals",7
2013,"8th Circuit Court of Appeals",1
2013,"DC Circuit Court of Appeals",18
2014,"10th Circuit Court of Appeals",5
2014,"11th Circuit Court of Appeals",9
2014,"1st Circuit Court of Appeals",2
2014,"2nd Circuit Court of Appeals",4
2014,"3rd Circuit Court of Appeals",2
2014,"5th Circuit Court of Appeals",10
2014,"6th Circuit Court of Appeals",40
2014,"7th Circuit Court of Appeals",7
2014,"9th Circuit Court of Appeals",11
2014,"DC Circuit Court of Appeals",4
2015,"10th Circuit Court of Appeals",3
2015,"11th Circuit Court of Appeals",18
2015,"1st Circuit Court of Appeals",1
2015,"2nd Circuit Court of Appeals",9
2015,"3rd Circuit Court of Appeals",11
2015,"5th Circuit Court of Appeals",15
2015,"6th Circuit Court of Appeals",50
2015,"7th Circuit Court of Appeals",6
2015,"9th Circuit Court of Appeals",15
2015,"DC Circuit Court of Appeals",1
2015,"Federal Circuit Court of Appeals",1
2016,"10th Circuit Court of Appeals",11
2016,"11th Circuit Court of Appeals",42
2016,"1st Circuit Court of Appeals",2
2016,"2nd Circuit Court of Appeals",17
2016,"3rd Circuit Court of Appeals",15
2016,"4th Circuit Court of Appeals",3
2016,"5th Circuit Court of Appeals",33
2016,"6th Circuit Court of Appeals",133
2016,"7th Circuit Court of Appeals",21
2016,"8th Circuit Court of Appeals",2
2016,"9th Circuit Court of Appeals",24
2016,"DC Circuit Court of Appeals",3
2016,"Federal Circuit Court of Appeals",1
2016,"Texas Southern District Court",1
2017,"10th Circuit Court of Appeals",20
2017,"11th Circuit Court of Appeals",83
2017,"1st Circuit Court of Appeals",13
2017,"2nd Circuit Court of Appeals",42
2017,"3rd Circuit Court of Appeals",40
2017,"4th Circuit Court of Appeals",7
2017,"5th Circuit Court of Appeals",70
2017,"6th Circuit Court of Appeals",161
2017,"7th Circuit Court of Appeals",28
2017,"8th Circuit Court of Appeals",21
2017,"9th Circuit Court of Appeals",84
2017,"DC Circuit Court of Appeals",10
2017,"Federal Circuit Court of Appeals",16
2018,"",2
2018,"10th Circuit Court of Appeals",993
2018,"11th Circuit Court of Appeals",4321
2018,"1st Circuit Court of Appeals",296
2018,"2nd Circuit Court of Appeals",1391
2018,"3rd Circuit Court of Appeals",1111
2018,"4th Circuit Court of Appeals",2705
2018,"5th Circuit Court of Appeals",2772
2018,"6th Circuit Bankruptcy Appellate Panel",2
2018,"6th Circuit Court of Appeals",3397
2018,"7th Circuit Court of Appeals",1142
2018,"8th Circuit Court of Appeals",1703
2018,"9th Circuit Court of Appeals",11716
2018,"DC Circuit Court of Appeals",920
2018,"Federal Circuit Court of Appeals",727
